id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
4258,Uwe Hünemeier,32,2816,2,1.8722,2,1.222,30,9,4,0,D,Paderborn,2,1.8722,3.6299,2.6887,2014
4263,Srdjan Lakic,17,1004,2,1.2928,2,0.7303,15,6,3,0,F S,Paderborn,2,1.2928,2.1653,0.522,2014
4275,Lucas Piazon,22,1046,2,1.478,0,2.4317,10,20,3,0,F M S,Eintracht Frankfurt,2,1.478,5.7192,2.9854,2014
4282,Marcell Jansen,15,1058,2,0.8917,1,1.1622,19,9,1,0,D M S,Hamburger SV,2,0.8917,3.0987,1.3289,2014
4287,Sejad Salihovic,13,437,2,1.9224,0,0.7091,12,11,3,0,M S,Hoffenheim,0,0.4068,1.8216,1.448,2014
4291,Marc-Oliver Kempf,13,917,2,0.4673,0,0.2948,4,4,3,0,D S,Freiburg,2,0.4673,0.4313,0.2632,2014
4304,Sami Allagui,20,807,2,3.4142,0,1.0265,29,10,4,0,F M S,"Hertha Berlin,Mainz 05",2,3.4142,2.8738,1.2742,2014
3,Luca Caldirola,7,470,1,0.4327,0,0.0607,1,1,2,1,D S,Werder Bremen,1,0.4327,0.5551,0.1224,2014
15,Júnior Díaz,19,1435,1,1.4027,1,1.8244,16,10,4,0,D M S,Mainz 05,1,1.4027,2.372,0.8313,2014
18,Slobodan Rajkovic,11,980,1,0.4989,0,0.0323,4,1,1,0,D,Hamburger SV,1,0.4989,0.5957,0.5634,2014
21,Sebastian Langkamp,16,1354,1,0.3572,0,0.0,5,0,3,1,D S,Hertha Berlin,1,0.3572,1.1085,1.1085,2014
22,John Brooks,27,2185,1,1.2049,0,0.0099,15,1,5,0,D S,Hertha Berlin,1,1.2049,1.5858,1.5047,2014
28,Mitchell Weiser,13,776,1,0.6455,4,1.2044,7,10,2,0,D F M S,Bayern Munich,1,0.6455,5.3507,4.2334,2014
30,Jens Hegeler,24,1356,1,0.932,1,0.4944,7,3,4,0,D M S,Hertha Berlin,0,0.1742,1.5713,1.0743,2014
35,Genki Haraguchi,21,1385,1,2.5259,0,1.4702,24,13,2,0,M S,Hertha Berlin,1,2.5259,4.4939,0.5592,2014
39,Niko Bungert,26,2122,1,1.75,1,0.9075,17,5,4,0,D S,Mainz 05,1,1.75,3.8002,2.7322,2014
44,Pablo De Blasis,20,1140,1,0.861,4,2.4655,18,19,1,0,F M S,Mainz 05,1,0.861,4.7685,1.939,2014
49,Christian Clemens,17,682,1,2.0979,0,0.413,17,9,0,0,D M S,"Mainz 05,Schalke 04",1,2.0979,4.164,2.0282,2014
56,Daniel Schwaab,31,2346,1,1.3194,0,1.6576,12,17,1,1,D S,VfB Stuttgart,1,1.3194,4.729,3.5876,2014
58,Georg Niedermeier,22,1683,1,2.6985,1,0.3226,14,3,4,1,D S,VfB Stuttgart,1,2.6985,3.071,2.9528,2014
69,Carlos Gruezo,8,439,1,0.4101,0,0.0453,3,2,1,0,M S,VfB Stuttgart,1,0.4101,0.6133,0.2032,2014
75,Niklas Süle,15,1269,1,1.2264,0,0.1539,9,6,1,0,D,Hoffenheim,1,1.2264,2.0378,1.6181,2014
80,Pirmin Schwegler,28,2266,1,0.8954,4,2.065,23,27,5,0,M S,Hoffenheim,1,0.8954,4.2384,2.9441,2014
84,Ermin Bicakcic,24,2072,1,1.9255,0,0.2994,9,5,3,1,D,Hoffenheim,1,1.9255,3.2572,2.8398,2014
94,Christian Schulz,31,2649,1,1.9302,0,0.6688,16,5,7,0,D,Hannover 96,1,1.9302,3.1706,2.8551,2014
97,Ceyhun Gülselam,18,1218,1,1.3931,0,0.2586,18,7,6,1,M S,Hannover 96,1,1.3931,1.7244,1.1467,2014
