Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Gardien,"26,80",11.13,2.23,2019,eintracht frankfurt
Défense,"26,78",59.5,6.61,2019,eintracht frankfurt
Milieu de terrain,"24,56",76.25,4.77,2019,eintracht frankfurt
Attaquant,"24,20",62.1,12.42,2019,eintracht frankfurt
Total,"25,40",208.98,5.97,2019,eintracht frankfurt
Gardien,"24,00",11.05,2.76,2020,eintracht frankfurt
Défense,"24,38",74.3,5.72,2020,eintracht frankfurt
Milieu de terrain,"26,08",105.5,8.79,2020,eintracht frankfurt
Attaquant,"22,71",78.3,11.19,2020,eintracht frankfurt
Total,"24,58",269.15,7.48,2020,eintracht frankfurt
Gardien,"21,00",4.05,0.81,2014,sv werder bremen
Défense,"23,18",19.7,1.79,2014,sv werder bremen
Milieu de terrain,"23,15",19.78,1.52,2014,sv werder bremen
Attaquant,"23,43",24.0,3.43,2014,sv werder bremen
Total,"22,92",67.53,1.88,2014,sv werder bremen
Gardien,"25,20",4.25,0.85,2015,sv werder bremen
Défense,"23,00",24.03,1.72,2015,sv werder bremen
Milieu de terrain,"22,71",21.75,1.55,2015,sv werder bremen
Attaquant,"25,83",14.65,2.44,2015,sv werder bremen
Total,"23,62",64.68,1.66,2015,sv werder bremen
Gardien,"26,00",3.2,0.64,2016,sv werder bremen
Défense,"24,17",19.15,1.6,2016,sv werder bremen
Milieu de terrain,"23,92",27.55,2.3,2016,sv werder bremen
Attaquant,"24,67",39.55,3.3,2016,sv werder bremen
Total,"24,46",89.45,2.18,2016,sv werder bremen
Gardien,"25,00",10.45,2.61,2017,sv werder bremen
Défense,"25,10",26.75,2.68,2017,sv werder bremen
Milieu de terrain,"23,56",34.1,3.79,2017,sv werder bremen
Attaquant,"24,80",35.85,3.59,2017,sv werder bremen
Total,"24,58",107.15,3.25,2017,sv werder bremen
Gardien,"22,50",13.85,3.46,2018,sv werder bremen
Défense,"24,75",30.75,3.84,2018,sv werder bremen
Milieu de terrain,"23,45",64.7,5.88,2018,sv werder bremen
Attaquant,"27,10",58.75,5.88,2018,sv werder bremen
Total,"24,76",168.05,5.09,2018,sv werder bremen
Gardien,"23,67",7.75,2.58,2019,sv werder bremen
Défense,"26,27",34.03,3.09,2019,sv werder bremen
Milieu de terrain,"25,00",35.65,3.96,2019,sv werder bremen
Attaquant,"24,69",57.7,4.44,2019,sv werder bremen
Total,"25,17",135.13,3.75,2019,sv werder bremen
Gardien,"23,80",7.65,1.53,2020,sv werder bremen
Défense,"27,00",28.5,4.07,2020,sv werder bremen
Milieu de terrain,"24,36",41.08,3.73,2020,sv werder bremen
Attaquant,"22,30",34.75,3.48,2020,sv werder bremen
Total,"24,21",111.98,3.39,2020,sv werder bremen
Gardien,"20,00",7.25,2.42,2014,1 fsv mainz 05
Défense,"25,67",20.95,1.75,2014,1 fsv mainz 05
Milieu de terrain,"24,10",32.05,3.21,2014,1 fsv mainz 05
Attaquant,"22,82",27.75,2.52,2014,1 fsv mainz 05
Total,"23,89",88.0,2.44,2014,1 fsv mainz 05
Gardien,"22,40",8.3,1.66,2015,1 fsv mainz 05
Défense,"26,18",22.0,2.0,2015,1 fsv mainz 05
Milieu de terrain,"24,91",29.3,2.66,2015,1 fsv mainz 05
Attaquant,"22,67",25.55,2.13,2015,1 fsv mainz 05
Total,"24,26",85.15,2.18,2015,1 fsv mainz 05
Gardien,"21,60",3.13,0.625,2016,1 fsv mainz 05
Défense,"25,10",22.9,2.29,2016,1 fsv mainz 05
Milieu de terrain,"22,33",31.15,3.46,2016,1 fsv mainz 05
Attaquant,"23,20",39.55,2.64,2016,1 fsv mainz 05
Total,"23,28",96.73,2.48,2016,1 fsv mainz 05
Gardien,"23,00",3.45,0.69,2017,1 fsv mainz 05
Défense,"24,70",30.75,3.08,2017,1 fsv mainz 05
Milieu de terrain,"24,88",38.15,4.77,2017,1 fsv mainz 05
Attaquant,"24,20",26.0,2.6,2017,1 fsv mainz 05
Total,"24,33",98.35,2.98,2017,1 fsv mainz 05
Gardien,"24,00",11.95,2.39,2018,1 fsv mainz 05
Défense,"24,25",50.13,4.18,2018,1 fsv mainz 05
Milieu de terrain,"23,25",55.25,6.91,2018,1 fsv mainz 05
Attaquant,"23,40",42.4,4.24,2018,1 fsv mainz 05
Total,"23,74",159.73,4.56,2018,1 fsv mainz 05
Gardien,"21,75",6.05,1.51,2019,1 fsv mainz 05
