id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
1724,Isaac Success,19,918,1,2.2227,1,0.8675,14,7,1,0,F S,Granada,1,2.2227,3.0429,0.3015,2014
2024,Diogo Figueiras,24,1841,1,0.9351,2,1.7226,19,14,7,0,D M S,Sevilla,1,0.9351,6.696,5.0629,2014
2062,Nico Pareja,26,2280,1,0.6192,1,2.2938,9,9,6,0,D,Sevilla,1,0.6192,5.2318,3.4222,2014
2063,Timothée Kolodziejczak,18,1576,1,0.1583,0,1.209,4,4,3,0,D,Sevilla,1,0.1583,4.9831,4.4412,2014
2069,Daniel Carriço,28,2517,1,0.6677,0,0.3251,14,4,8,1,D M,Sevilla,1,0.6677,4.5329,4.1652,2014
2077,Jean-Sylvain Babin,34,3031,1,1.1239,0,0.2782,11,6,2,0,D,Granada,1,1.1239,2.1791,2.0244,2014
2093,Jordi Alba,27,2336,1,2.6235,3,3.4027,18,27,6,1,D,Barcelona,1,2.6235,18.6277,14.6648,2014
2095,Sergio Busquets,33,2493,1,0.749,2,1.5559,7,17,7,0,M S,Barcelona,1,0.749,22.8317,22.195,2014
2100,Rafinha,24,1149,1,1.0633,1,0.9243,12,8,2,0,F M S,Barcelona,1,1.0633,12.7641,11.0888,2014
2106,Munir,10,467,1,2.8893,1,0.2769,18,4,0,0,F S,Barcelona,1,2.8893,4.1488,2.0154,2014
2118,Paco Montañés,25,1060,1,1.1795,1,1.381,19,8,2,0,M S,Espanyol,1,1.1795,4.016,2.0407,2014
2126,Mauro Dos Santos,29,2297,1,0.6818,0,0.1097,11,2,6,2,D S,Almeria,1,0.6818,0.989,0.9091,2014
2130,Dani García,34,2972,1,0.378,2,0.5381,17,12,10,1,M,Eibar,1,0.378,4.1619,3.6926,2014
2160,Antonio Amaya,19,1591,1,0.3721,0,0.0,5,0,6,0,D,Rayo Vallecano,1,0.3721,2.4737,2.4737,2014
2162,Roberto Trashorras,33,2890,1,1.7923,4,4.0916,42,57,11,0,M,Rayo Vallecano,1,1.7923,10.3129,8.3481,2014
2165,Jozabed,23,1158,1,0.2634,1,1.6281,11,19,2,0,M S,Rayo Vallecano,1,0.2634,3.6392,2.7402,2014
2179,Simao Mate,27,1999,1,0.9196,0,0.2747,14,8,10,0,M S,Levante,1,0.9196,1.5167,1.4195,2014
2183,Rubén García,27,1358,1,1.8404,2,1.2517,21,19,2,0,M S,Levante,1,1.0971,3.9445,2.4717,2014
2194,Damián Suárez,34,3040,1,0.4057,1,1.9358,14,20,11,1,D,Elche,1,0.4057,6.629,5.5974,2014
2205,Juan Rodríguez,34,2769,1,0.9077,0,0.2765,22,6,6,0,D M S,Getafe,1,0.9077,3.7735,3.0963,2014
2207,Emiliano Velázquez,27,2355,1,0.8532,1,0.4556,9,2,5,1,D,Getafe,1,0.8532,1.5696,1.5539,2014
2228,Aritz Elustondo,4,323,1,0.4298,0,0.0509,3,1,2,0,D,Real Sociedad,1,0.4298,0.3425,0.2714,2014
2231,Markel Bergara,30,2120,1,0.6319,0,0.3217,13,10,9,0,M S,Real Sociedad,1,0.6319,3.1681,2.7245,2014
2239,Alberto De la Bella,23,1902,1,0.7539,2,1.6145,12,19,4,0,D S,Real Sociedad,1,0.7539,3.9263,2.5374,2014
2242,Rubén Pardo,28,1916,1,0.8914,6,1.8057,23,28,5,0,M S,Real Sociedad,1,0.8914,3.534,2.3882,2014
2247,Nacho,14,636,1,0.1656,0,0.1227,2,1,1,0,D S,Real Madrid,1,0.1656,4.0863,3.9208,2014
2250,Luka Modric,16,1310,1,1.6008,3,1.414,15,19,4,0,M,Real Madrid,1,1.6008,13.5532,11.4848,2014
2267,Augusto Fernández,30,2109,1,2.1768,0,0.4731,36,7,11,0,D F M S,Celta Vigo,1,2.1768,8.9529,7.4652,2014
2278,Giménez,20,1752,1,0.3845,3,2.1349,7,8,3,0,D S,Atletico Madrid,1,0.3845,2.9839,2.3514,2014
2281,Hugo Mallo,28,2343,1,1.0352,0,0.7728,12,14,6,0,D M S,Celta Vigo,1,1.0352,5.3436,3.8896,2014
2288,Theo Bongonda,8,120,1,0.5147,1,0.221,1,2,0,0,S,Celta Vigo,1,0.5147,0.3048,0.0839,2014
2301,Manu Trigueros,33,2423,1,2.5675,1,2.5629,38,42,9,0,M S,Villarreal,1,2.5675,10.1122,7.5656,2014
2303,Samu Castillejo,34,2357,1,2.9613,5,3.6875,31,27,5,0,M S,Malaga,1,2.9613,9.1661,3.4466,2014
2316,Juanfran,34,2752,1,0.8748,1,2.362,33,33,4,0,D M S,Deportivo La Coruna,1,0.8748,5.3083,2.657,2014
2319,Faycal Fajr,34,2567,1,2.6807,4,7.1615,32,67,1,1,F M S,Elche,1,1.9374,9.02,5.0494,2014
2320,Pedro Mosquera,25,2145,1,0.6622,1,0.3301,20,11,5,0,M S,Elche,1,0.6622,4.9659,4.5173,2014
2337,Recio,30,1471,1,0.9726,2,0.7698,15,21,10,0,M S,Malaga,1,0.9726,2.3122,1.6432,2014
