Position,Valeur maximum,Years,Crew
Total,35.0,2020,atalanta-bergamo
Gardien,2.5,2014,cagliari-calcio
Défense,3.5,2014,cagliari-calcio
Milieu,4.5,2014,cagliari-calcio
Attaquant,7.0,2014,cagliari-calcio
Total,8.5,2014,cagliari-calcio
Gardien,1.8,2015,cagliari-calcio
Défense,2.5,2015,cagliari-calcio
Milieu,5.0,2015,cagliari-calcio
Attaquant,5.0,2015,cagliari-calcio
Total,5.0,2015,cagliari-calcio
Gardien,1.4,2016,cagliari-calcio
Défense,4.0,2016,cagliari-calcio
Milieu,5.0,2016,cagliari-calcio
Attaquant,4.0,2016,cagliari-calcio
Total,5.0,2016,cagliari-calcio
Gardien,9.0,2017,cagliari-calcio
Défense,7.0,2017,cagliari-calcio
Milieu,25.0,2017,cagliari-calcio
Attaquant,9.0,2017,cagliari-calcio
Total,25.0,2017,cagliari-calcio
Gardien,20.0,2018,cagliari-calcio
Défense,6.0,2018,cagliari-calcio
Milieu,36.0,2018,cagliari-calcio
Attaquant,12.0,2018,cagliari-calcio
Total,36.0,2018,cagliari-calcio
Gardien,16.0,2019,cagliari-calcio
Défense,13.5,2019,cagliari-calcio
Milieu,16.0,2019,cagliari-calcio
Attaquant,13.5,2019,cagliari-calcio
Total,21.0,2019,cagliari-calcio
Gardien,20.0,2020,cagliari-calcio
Défense,7.5,2020,cagliari-calcio
Milieu,15.0,2020,cagliari-calcio
Attaquant,11.0,2020,cagliari-calcio
Total,22.0,2020,cagliari-calcio
Gardien,4.0,2014,parma-calcio-1913
Défense,6.5,2014,parma-calcio-1913
Milieu,4.5,2014,parma-calcio-1913
Attaquant,5.0,2014,parma-calcio-1913
Total,6.5,2014,parma-calcio-1913
Gardien,0.05,2015,parma-calcio-1913
Défense,0.2,2015,parma-calcio-1913
Milieu,0.45,2015,parma-calcio-1913
Attaquant,0.325,2015,parma-calcio-1913
Total,0.45,2015,parma-calcio-1913
Gardien,0.5,2016,parma-calcio-1913
Défense,0.4,2016,parma-calcio-1913
Milieu,0.65,2016,parma-calcio-1913
Attaquant,0.5,2016,parma-calcio-1913
Total,0.65,2016,parma-calcio-1913
Gardien,0.4,2017,parma-calcio-1913
Défense,1.2,2017,parma-calcio-1913
Milieu,2.0,2017,parma-calcio-1913
Attaquant,2.5,2017,parma-calcio-1913
Total,2.5,2017,parma-calcio-1913
Gardien,5.0,2018,parma-calcio-1913
Défense,15.0,2018,parma-calcio-1913
Milieu,7.0,2018,parma-calcio-1913
Attaquant,15.0,2018,parma-calcio-1913
Total,15.0,2018,parma-calcio-1913
Gardien,9.5,2019,parma-calcio-1913
Défense,6.5,2019,parma-calcio-1913
Milieu,5.5,2019,parma-calcio-1913
Attaquant,31.5,2019,parma-calcio-1913
Total,31.5,2019,parma-calcio-1913
Gardien,3.5,2020,parma-calcio-1913
Défense,7.0,2020,parma-calcio-1913
Milieu,6.5,2020,parma-calcio-1913
Attaquant,10.0,2020,parma-calcio-1913
Total,10.0,2020,parma-calcio-1913
Gardien,6.0,2014,cesena-fc
Défense,1.2,2014,cesena-fc
Milieu,3.0,2014,cesena-fc
Attaquant,4.0,2014,cesena-fc
Total,6.0,2014,cesena-fc
Gardien,2.2,2015,cesena-fc
Défense,1.0,2015,cesena-fc
Milieu,4.0,2015,cesena-fc
Attaquant,2.0,2015,cesena-fc
Total,4.0,2015,cesena-fc
Gardien,0.4,2016,cesena-fc
Défense,0.7,2016,cesena-fc
Milieu,1.5,2016,cesena-fc
Attaquant,2.3,2016,cesena-fc
Total,2.3,2016,cesena-fc
Gardien,0.5,2017,cesena-fc
Défense,0.7,2017,cesena-fc
Milieu,1.5,2017,cesena-fc
Attaquant,2.0,2017,cesena-fc
Total,2.0,2017,cesena-fc
Gardien,0.1,2018,cesena-fc
Défense,0.2,2018,cesena-fc
Milieu,0.15,2018,cesena-fc
Attaquant,0.3,2018,cesena-fc
Total,0.3,2018,cesena-fc
Gardien,0.15,2019,cesena-fc
Défense,0.25,2019,cesena-fc
