Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Gardien,"25,75","4,00","1,00",2019,sm caen
Défense,"24,89","7,33",814 K €,2019,sm caen
Milieu de terrain,"23,70","7,25",725 K €,2019,sm caen
Attaquant,"22,06","9,05",566 K €,2019,sm caen
Total,"23,51","27,63",708 K €,2019,sm caen
Gardien,"22,33","1,65",275 K €,2020,sm caen
Défense,"23,00","5,65",514 K €,2020,sm caen
Milieu de terrain,"22,83","7,90",658 K €,2020,sm caen
Attaquant,"21,90","7,45",745 K €,2020,sm caen
Total,"22,56","22,65",581 K €,2020,sm caen
Gardien,"21,50","3,90",975 K €,2014, toulouse
Défense,"23,00","16,60","1,38",2014, toulouse
Milieu de terrain,"23,55","12,70","1,15",2014, toulouse
Attaquant,"21,89","15,70","1,74",2014, toulouse
Total,"22,72","48,90","1,36",2014, toulouse
Gardien,"21,40","3,95",790 K €,2015, toulouse
Défense,"23,22","10,95","1,22",2015, toulouse
Milieu de terrain,"24,00","12,45","1,25",2015, toulouse
Attaquant,"22,88","15,55","1,94",2015, toulouse
Total,"23,09","42,90","1,34",2015, toulouse
Gardien,"23,33","8,95","2,98",2016, toulouse
Défense,"23,45","24,80","2,25",2016, toulouse
Milieu de terrain,"23,20","23,25","1,55",2016, toulouse
Attaquant,"21,44","20,30","2,26",2016, toulouse
Total,"22,87","77,30","2,03",2016, toulouse
Gardien,"24,33","18,95","6,32",2017, toulouse
Défense,"22,75","42,75","5,34",2017, toulouse
Milieu de terrain,"23,09","25,25","2,30",2017, toulouse
Attaquant,"25,00","23,50","3,92",2017, toulouse
Total,"23,54","110,45","3,94",2017, toulouse
Gardien,"25,75","5,95","1,49",2018, toulouse
Défense,"22,15","35,60","2,74",2018, toulouse
Milieu de terrain,"22,62","36,05","2,77",2018, toulouse
Attaquant,"24,00","35,65","3,57",2018, toulouse
Total,"23,13","113,25","2,83",2018, toulouse
Gardien,"26,75","5,93","1,48",2019, toulouse
Défense,"21,75","23,80","1,98",2019, toulouse
Milieu de terrain,"21,71","23,80","3,40",2019, toulouse
Attaquant,"22,33","18,35","1,53",2019, toulouse
Total,"22,51","71,88","2,05",2019, toulouse
Gardien,"24,20","2,30",460 K €,2020, toulouse
Défense,"21,54","15,80","1,22",2020, toulouse
Milieu de terrain,"21,08","22,73","1,89",2020, toulouse
Attaquant,"21,23","18,00","1,38",2020, toulouse
Total,"21,63","58,83","1,37",2020, toulouse
Gardien,"24,67","1,80",600 K €,2014,dijon o
